Health Facility Code,Health Facility Code Short,Facility Name,Facility Major Type,Health Facility Type,class,Street Name and #,Region Name,Region PSGC,Province Name,Province PSGC,City/Municipality Name,City/Municipality PSGC,Barangay Name,Barangay PSGC,Zip Code,Landline Number,Landline Number 2,Fax Number,Email Address,Service Capability,Bed Capacity,Licensing Status,License Validity Date
DOH000000000000700,700,PASIG CITY GENERAL HOSPITAL,Health Facility,Hospital,Government,M. EUSEBIO AVENUE,NATIONAL CAPITAL REGION (NCR),1300000000,"NCR, SECOND DISTRICT (NOT A PROVINCE)",1374000000,CITY OF PASIG,1381200000,MAYBUNGA,1381200012,NA,+63 022737981,+63 026433333,+63 026427380,pasigcitygen@yahoo.com.ph,Level 3,200,Licensing Status:With License,NA
DOH000000000039124,39124,WASHINGTON DISTRICT BIRTHING FACILITY,Health Facility,Birthing Home,Government,KASKAG,REGION XIII (CARAGA),1600000000,SURIGAO DEL NORTE,1606700000,CITY OF SURIGAO (CAPITAL),1606724000,WASHINGTON (POB.),1606724068,NA,NA,NA,NA,WASHINGTON_DISTRICT@YAHOO.COM,NA,2,Licensing Status:With License,NA
DOH000000000032148,32148,GAMU RURAL HEALTH UNIT AND BIRTHING CENTER,Health Facility,Birthing Home,Government,PUROK 4,REGION II (CAGAYAN VALLEY),020000000,ISABELA,020310000,GAMU,020311300,DISTRICT I (POB.),0203113017,3301,NA,NA,NA,rhu.gamuisabela@yahoo.com,NA,5,Licensing Status:With License,12/31/2023
DOH000000000036055,36055,TUPI RHU LYING-IN CLINIC,Health Facility,Birthing Home,Government,NA,REGION XII (SOCCSKSARGEN),1200000000,SOUTH COTABATO,1206300000,TUPI,1206317000,POBLACION,1206317013,9505,(083) 2262827,NA,NA,tupirhu@yahoo.com,NA,3,Licensing Status:With License,NA
DOH000000000005306,5306,SAN ANTONIO DISTRICT HOSPITAL,Health Facility,Infirmary,Government,NA,REGION VIII (EASTERN VISAYAS),0800000000,NORTHERN SAMAR,0804800000,SAN ANTONIO,0804817000,WARD III (POB.),0804817011,6407,NA,NA,NA,sanantoniodistricthospital@gmail.com,NA,12,Licensing Status:With License,NA
DOH000000000000753,753,SALVACION OPPUS YNIGUEZ MEMORIAL PROVINCIAL HOSPITAL,Health Facility,Hospital,Government,NA,REGION VIII (EASTERN VISAYAS),0800000000,SOUTHERN LEYTE,0806400000,CITY OF MAASIN (CAPITAL),0806407000,DONGON,0806407021,6600,NA,NA,NA,NA,Level 2,100,Licensing Status:With License,NA
DOH000000000038213,38213,BATARAZA DISTRICT HOSPITAL,Health Facility,Infirmary,Government,NA,MIMAROPA REGION,1700000000,PALAWAN,1705300000,BATARAZA,1705305000,MARANGAS (POB.),1705305010,5306,NA,NA,NA,batarazadistricthospital@gmail.com,NA,11,Licensing Status:With License,NA
DOH000000000007521,7521,RAMON TABIANA MEMORIAL DISTRICT HOSPITAL,Health Facility,Hospital,Government,NA,REGION VI (WESTERN VISAYAS),060000000,ILOILO,060300000,CABATUAN,060301200,PUNGTOD,0603012055,5031,+63 335228549,NA,NA,NA,Level 1,75,Licensing Status:With License,12/31/2023
DOH000000000038093,38093,PALANAS RURAL HEALTH UNIT,Health Facility,Birthing Home,Government,NA,REGION V (BICOL REGION),050000000,MASBATE,050410000,PALANAS,050411500,POBLACION,0504115019,5404,NA,NA,NA,imeedelavin78@yahoo.com,NA,3,Licensing Status:With License,12/31/2023
DOH000000000040463,40463,MUNTINLUPA LYING-IN CENTER,Health Facility,Birthing Home,Government,NATIONAL ROAD,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, FOURTH DISTRICT (NOT A PROVINCE)",137600000,CITY OF MUNTINLUPA,138080000,PUTATAN,1380800006,NA,+63 0276247087,NA,NA,muntinlupalyingincenter83@gmail.com,NA,4,Licensing Status:With License,12/31/2023
DOH000000000004295,4295,CAN-AVID MUNICIPAL HOSPITAL,Health Facility,Infirmary,Government,NATIONAL HIGHWAY,REGION VIII (EASTERN VISAYAS),080000000,EASTERN SAMAR,080260000,CAN-AVID,080260500,BARANGAY 4 POBLACION,0802605022,6806,NA,NA,NA,canavidhospital@gmail.com,NA,10,Licensing Status:With License,12/31/2023
DOH000000000032887,32887,MAGPET RURAL HEALTH UNIT BIRTHING HOME,Health Facility,Birthing Home,Government,ALSAR'S STREET,REGION XII (SOCCSKSARGEN),1200000000,COTABATO,1204700000,MAGPET,1204706000,POBLACION,1204706040,9404,NA,NA,NA,rhumagpet@yahoo.com,NA,3,Licensing Status:With License,NA
DOH000000000044535,44535,NABAS RURAL HEALTH UNIT-MATERNITY CLINIC,Health Facility,Birthing Home,Government,NA,REGION VI (WESTERN VISAYAS),0600000000,AKLAN,0600400000,NABAS,0600414000,POBLACION,0600414015,NA,036-289-1459,NA,NA,NA,NA,5,Licensing Status:With License,NA
DOH000000000006712,6712,HILONGOS DISTRICT HOSPITAL,Health Facility,Hospital,Government,C.V. ALCUINO,REGION VIII (EASTERN VISAYAS),0800000000,LEYTE,0803700000,HILONGOS,0803719000,CENTRAL BARANGAY (POB.),0803719028,6524,+63 535679452,NA,NA,hdhcares@gmail.com,Level 1,25,Licensing Status:With License,NA
DOH000000000036142,36142,TINAGACAN RURAL HEALTH UNIT BIRTHING HOME,Health Facility,Birthing Home,Government,NA,REGION XII (SOCCSKSARGEN),1200000000,SOUTH COTABATO,1230800000,CITY OF GENERAL SANTOS,1230800000,TINAGACAN,1230800028,9500,NA,NA,NA,NA,NA,3,Licensing Status:With License,NA
DOH000000000038555,38555,SUDIPEN BIRTHING CLINIC,Health Facility,Birthing Home,Government,NA,REGION I (ILOCOS REGION),010000000,LA UNION,010330000,SUDIPEN,010331900,POBLACION,0103319010,NA,NA,NA,NA,NA,NA,2,Licensing Status:With License,NA
DOH000000000033116,33116,BARANGAY HEALTH STATION - BULAWAN,Health Facility,Birthing Home,Government,PUROK 1,REGION IX (ZAMBOANGA PENINSULA),0900000000,ZAMBOANGA DEL SUR,0907300000,LAPUYAN,0907313000,BULAWAN,0907313002,7037,NA,NA,NA,NA,NA,1,Licensing Status:With License,12/31/2023
DOH000000000005029,5029,ROXAS MEMORIAL PROVINCIAL HOSPITAL,Health Facility,Hospital,Government,ARNALDO BOULEVARD,REGION VI (WESTERN VISAYAS),060000000,CAPIZ,060190000,CITY OF ROXAS (CAPITAL),060191400,INZO ARNALDO VILLAGE,0601914030,5800,+63 366210030,+63 366210823,NA,rmphxcapiz@yahoo.com,Level 2,147,Licensing Status:With License,12/31/2023
DOH000000000003490,3490,SAN ANDRES MUNICIPAL HOSPITAL,Health Facility,Infirmary,Government,NA,MIMAROPA REGION,1700000000,ROMBLON,1705900000,SAN ANDRES,1705912000,POBLACION,1705912010,5504,NA,NA,NA,sanandresmunicipalhospital@gmail.com,NA,10,Licensing Status:With License,NA
DOH000000000032225,32225,SAN GABRIEL RURAL HEALTH UNIT AND BIRTHING CLINIC,Health Facility,Birthing Home,Government,NA,REGION I (ILOCOS REGION),010000000,LA UNION,010330000,SAN GABRIEL,010331500,POBLACION,0103315019,NA,NA,NA,NA,NA,NA,8,Licensing Status:With License,NA
DOH000000000006054,6054,OSPITAL NG BIÑAN,Health Facility,Hospital,Government,NA,REGION IV-A (CALABARZON),0400000000,LAGUNA,0403400000,CITY OF BI?AN,0403403000,CANLALAY,0403403004,4024,+63 495114622,NA,NA,ospitalngbinan315@yahoo.com.ph,Level 1,50,Licensing Status:With License,NA
DOH000000000046477,46477,PALIMBANG BIRTHING CLINIC,Health Facility,Birthing Home,Government,MASTURA STREET CORNER DR. SARAIBA STREET,REGION XII (SOCCSKSARGEN),1200000000,SULTAN KUDARAT,1206500000,PALIMBANG,1206509000,POBLACION,1206509031,9809,NA,NA,NA,alitumama@yahoo.com,NA,2,Licensing Status:With License,NA
DOH000000000000281,281,ILOCOS SUR DISTRICT HOSPITAL - MAGSINGAL,Health Facility,Hospital,Government,NATIONAL HIGHWAY,REGION I (ILOCOS REGION),010000000,ILOCOS SUR,010290000,MAGSINGAL,010291200,SANTA MONICA,0102912038,2730,+63 777263514,NA,NA,HOSPITALMAGSINGALDISTRICT@YAHOO.COM,Level 1,25,Licensing Status:With License,NA
DOH000000000003139,3139,AIRFORCE CITY HOSPITAL,Health Facility,Hospital,Government,NINOY AQUINO AVENUE,REGION III (CENTRAL LUZON),0300000000,PAMPANGA,0305400000,MABALACAT CITY,0305409000,DAU,0305409008,2009,+63 455992014,+63 454992225,NA,NA,Level 1,25,Licensing Status:With License,NA
DOH000000000032992,32992,TARAKA RURAL HEALTH UNIT BIRTHING HOME,Health Facility,Birthing Home,Government,NA,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1900000000,LANAO DEL SUR,1903600000,TARAKA,1903627000,NA,NA,NA,NA,NA,NA,NA,NA,0,Licensing Status:With License,NA
DOH000000000005946,5946,BARLIG DISTRICT HOSPITAL,Health Facility,Infirmary,Government,NA,CORDILLERA ADMINISTRATIVE REGION (CAR),140000000,MOUNTAIN PROVINCE,140440000,BARLIG,140440100,GAWANA (POB.),1404401011,2623,NA,NA,NA,BarDH1964@yahoo.com,NA,17,Licensing Status:With License,12/31/2023
DOH000000000037339,37339,BARANGAY HEALTH STATION BANGON - BIRTHING FACILITY,Health Facility,Birthing Home,Government,MARCOS STREET,REGION VIII (EASTERN VISAYAS),0800000000,NORTHERN SAMAR,0804800000,GAMAY,0804807000,BANGON,0804807002,6422,NA,NA,NA,NA,NA,2,NA,NA
DOH000000000032666,32666,BONTOC RURAL HEALTH UNIT BIRTHING CENTER,Health Facility,Birthing Home,Government,NA,REGION VIII (EASTERN VISAYAS),0800000000,SOUTHERN LEYTE,0806400000,BONTOC,0806402000,POBLACION,0806402027,NA,(053) 3823180,NA,NA,bontocrhu@gmail.com,NA,3,Licensing Status:With License,NA
DOH000000000002788,2788,PRES. DIOSDADO MACAPAGAL DISTRICT HOSPITAL,Health Facility,Infirmary,Government,NA,REGION VI (WESTERN VISAYAS),060000000,ANTIQUE,060060000,TOBIAS FORNIER,060060700,ABACA,0600607001,5716,NA,NA,NA,pdmdh@yahoo.com,NA,25,Licensing Status:With License,12/31/2023
DOH000000000039516,39516,BASAY RHU BIRTHING HOME,Health Facility,Birthing Home,Government,"RIZAL ST., PUROK 5",REGION VII (CENTRAL VISAYAS),0700000000,NEGROS ORIENTAL,0704600000,BASAY,0704605000,POBLACION,0704605010,6222,NA,NA,NA,rhubasay@yahoo.com,NA,5,NA,NA
DOH000000000038732,38732,SARRAT RHU- BIRTHING HOME,Health Facility,Birthing Home,Government,NA,REGION I (ILOCOS REGION),010000000,ILOCOS NORTE,010280000,SARRAT,010282100,SAN VICENTE (POB.),0102821020,NA,NA,NA,NA,NA,NA,1,Licensing Status:With License,NA
DOH000000000004094,4094,PANOPDOPAN DISTRICT HOSPITAL,Health Facility,Hospital,Government,BANNIT,CORDILLERA ADMINISTRATIVE REGION (CAR),140000000,IFUGAO,140270000,LAMUT,140270500,MABATOBATO,1402705007,3605,NA,NA,NA,leojonilom1@gmail.com,Level 1,25,Licensing Status:With License,12/31/2023
DOH000000000033466,33466,CITY OF CALAMBA BIRTHING FACILITY,Health Facility,Birthing Home,Government,NA,REGION IV-A (CALABARZON),0400000000,LAGUNA,0403400000,CITY OF CALAMBA,0403405000,PUNTA,0403405046,NA,+63 495451697,NA,NA,NA,NA,0,Licensing Status:With License,NA
DOH000000000038593,38593,TRINIDAD MUNICIPAL BIRTHING CLINIC,Health Facility,Birthing Home,Government,NA,REGION VII (CENTRAL VISAYAS),0700000000,BOHOL,0701200000,TRINIDAD,0701244000,POBLACION,0701244015,6324,NA,NA,NA,mhotrinidad@yahoo.com,NA,8,Licensing Status:With License,NA
DOH000000000039550,39550,SAN JUAN MUNICIPAL HEALTH OFFICE AND MATERNITY CLINIC,Health Facility,Birthing Home,Government,NA,REGION VII (CENTRAL VISAYAS),0700000000,SIQUIJOR,0706100000,SAN JUAN,0706105000,POBLACION,0706105010,6227,NA,NA,NA,mhosanjuan2019@gmail.com,NA,2,Licensing Status:With License,NA
DOH000000000003771,3771,SOUTHERN PALAWAN PROVINCIAL HOSPITAL,Health Facility,Hospital,Government,NA,MIMAROPA REGION,1700000000,PALAWAN,1705300000,BROOKE'S POINT,1705306000,PANGOBILIAN,1705306015,5305,NA,NA,NA,spphpalawan@yahoo.com.ph,Level 1,50,Licensing Status:With License,NA
DOH000000000035453,35453,ANGAT MUNICIPAL HEALTH CENTER AND BIRTHING FACILITY,Health Facility,Birthing Home,Government,MA FERNANDO AVENUE,REGION III (CENTRAL LUZON),0300000000,BULACAN,0301400000,ANGAT,0301401000,SANTA CRUZ (POB.),0301401015,NA,+63 447691208,NA,NA,eagustinbartolome@yahoo.com,NA,0,Licensing Status:With License,NA
DOH000000000006879,6879,JUSTICE CALIXTO O. ZALDIVAR MEMORIAL HOSPITAL,Health Facility,Infirmary,Government,NA,REGION VI (WESTERN VISAYAS),060000000,ANTIQUE,060060000,PANDAN,060061100,BAGUMBAYAN,0600611003,5712,+63 362789041,NA,NA,jcozmh_hospital@yahoo.com,NA,25,Licensing Status:With License,12/31/2023
DOH000000000038530,38530,BORONGAN CITY HEALTH OFFICE II - BIRTHING FACILITY,Health Facility,Birthing Home,Government,ST. RAFAEL,REGION VIII (EASTERN VISAYAS),0800000000,EASTERN SAMAR,0802600000,CITY OF BORONGAN (CAPITAL),0802604000,LALAWIGAN,0802604027,6800,NA,NA,NA,NA,NA,2,Licensing Status:With License,NA
DOH000000000040410,40410,KAMUNING LYING-IN CLINIC,Health Facility,Birthing Home,Government,19 THEODORE GENER ST. COR. K-5TH STREET,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (NOT A PROVINCE)",137400000,QUEZON CITY,138130000,KAMUNING,1381300048,NA,+63 0287102868,NA,NA,klic4@gmail.com,NA,10,Licensing Status:With License,NA
DOH000000000038629,38629,ALBURQUERQUE BIRTHING FACILITY,Health Facility,Birthing Home,Government,NA,REGION VII (CENTRAL VISAYAS),0700000000,BOHOL,0701200000,ALBURQUERQUE,0701201000,EAST POBLACION,0701201005,6302,+63 0385399223,63,NA,alburquerqueruralhealthunit@yahoo.com,NA,2,Licensing Status:With License,NA
DOH000000000032221,32221,TUBAO RURAL HEALTH UNIT BIRTHING HOME,Health Facility,Birthing Home,Government,HALOG STREET,REGION I (ILOCOS REGION),010000000,LA UNION,010330000,TUBAO,010332000,POBLACION,0103320017,2509,NA,NA,NA,NA,NA,2,Licensing Status:With License,NA
DOH000000000040704,40704,BETTY GO BELMONTE LYING-IN CLINIC,Health Facility,Birthing Home,Government,"Artillery St., Garcia Heights, Brgy. Holy Spirit, Quezon City",NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (NOT A PROVINCE)",137400000,QUEZON CITY,138130000,HOLY SPIRIT,1381300140,NA,NA,NA,NA,bgblic@yahoo.com,NA,12,Licensing Status:With License,NA
DOH000000000032568,32568,BALETE BIRTHING CLINIC,Health Facility,Birthing Home,Government,JUAN C. OQUENDO ST,REGION VI (WESTERN VISAYAS),0600000000,AKLAN,0600400000,BALETE,0600402000,POBLACION,0600402011,NA,036-272-3838,NA,NA,rhubalete@yahoo.com,NA,4,Licensing Status:With License,NA
DOH000000000002853,2853,TUDELA MUNICIPAL HOSPITAL,Health Facility,Infirmary,Government,NA,REGION X (NORTHERN MINDANAO),1000000000,MISAMIS OCCIDENTAL,1004200000,TUDELA,1004216000,CENTRO NAPU (POB.),1004216012,7202,+63 885450385,NA,NA,tudelamunicipalhospital@gmail.com,NA,10,Licensing Status:With License,12/31/2023
DOH000000000038688,38688,STA. MARIA RHU-BIRTHING FACILITY,Health Facility,Birthing Home,Government,NA,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,SANTA MARIA,0105539000,POBLACION WEST,0105539015,NA,63,63,NA,NA,NA,3,Licensing Status:With License,NA
DOH000000000043739,43739,CUYAPO LOCAL GOVERNMENT UNIT INFIRMARY,Health Facility,Infirmary,Government,Rizal Street,REGION III (CENTRAL LUZON),0300000000,NUEVA ECIJA,0304900000,CUYAPO,0304906000,DISTRICT I,0304906018,NA,NA,NA,NA,cuyapoinfirmary@gmail.com,N/A,13,Licensing Status:With License,09/02/2022
DOH000000000038948,38948,BARANGAY SILWAY-8 BIRTHING HOME,Health Facility,Birthing Home,Government,NA,REGION XII (SOCCSKSARGEN),1200000000,SOUTH COTABATO,1206300000,POLOMOLOK,1206312000,SILWAY 8,1206312019,9504,083-500-0128,NA,NA,silway.otsobirthinghome@gmail.com,NA,1,Licensing Status:With License,NA
DOH000000000037652,37652,POBLACION BHS AND BIRTHING CLINIC,Health Facility,Birthing Home,Government,NATIONAL HIGHWAY,REGION II (CAGAYAN VALLEY),020000000,NUEVA VIZCAYA,020500000,SANTA FE,020501200,POBLACION,0205012009,3705,NA,NA,NA,rhusantafe@gmail.com,NA,3,Licensing Status:With License,12/31/2023
DOH000000000000544,544,ELEUTERIO T. DECENA MEMORIAL HOSPITAL,Health Facility,Infirmary,Government,NA,REGION VI (WESTERN VISAYAS),060000000,NEGROS OCCIDENTAL,060450000,HINOBA-AN,060451200,BACUYANGAN,0604512003,6114,NA,NA,NA,drigzcubid_etdmh@yahoo.com,NA,10,Licensing Status:With License,12/31/2023
DOH000000000047275,47275,MASBATE CITY HEALTH OFFICE,Health Facility,Birthing Home,Government,NA,REGION V (BICOL REGION),0500000000,MASBATE,0504100000,CITY OF MASBATE (CAPITAL),0504111000,KALIPAY (POB.),0504111019,NA,NA,NA,NA,NA,NA,6,Licensing Status:With License,12/31/2024
DOH000000000033132,33132,SAN PABLO RURAL HEALTH UNIT BIRTHING CENTER,Health Facility,Birthing Home,Government,NA,REGION IX (ZAMBOANGA PENINSULA),0900000000,ZAMBOANGA DEL SUR,0907300000,SAN PABLO,0907325000,POBLACION,0907325017,7031,NA,NA,NA,NA,NA,8,Licensing Status:With License,12/31/2023
DOH000000000003223,3223,HUNGDUAN MUNICIPAL HOSPITAL,Health Facility,Infirmary,Government,TALETE,CORDILLERA ADMINISTRATIVE REGION (CAR),140000000,IFUGAO,140270000,HUNGDUAN,140270200,HAPAO,1402702019,3603,NA,NA,NA,hungduanmunicipal@yahoo.com.ph,NA,10,Licensing Status:With License,12/31/2023
DOH000000000032951,32951,PARANG RURAL HEALTH UNIT BIRTHING HOME,Health Facility,Birthing Home,Government,NA,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1900000000,MAGUINDANAO DEL NORTE,1908700000,PARANG,1908709000,NA,NA,NA,NA,NA,NA,NA,NA,0,Licensing Status:With License,NA
DOH000000000036281,36281,MAGULING HEALTH CENTER AND BIRTHING HOME,Health Facility,Birthing Home,Government,PUROK LIWLIWA,REGION XII (SOCCSKSARGEN),1200000000,SARANGANI,1208000000,MAITUM,1208005000,MAGULING,1208005007,9515,NA,NA,NA,magulinghealthcenter@gmail.com,NA,1,Licensing Status:With License,NA
DOH000000000005002,5002,ILOCOS SUR PROVINCIAL HOSPITAL - GABRIELA SILANG,Health Facility,Hospital,Government,QUIRINO BOULEVARD,REGION I (ILOCOS REGION),0100000000,ILOCOS SUR,0102900000,CITY OF VIGAN (CAPITAL),0102934000,TAMAG,0102934037,2700,+63 777227339,NA,+63 777227099,PHO_GABRIELA@YAHOO.COM,Level 2,100,Licensing Status:With License,NA
DOH000000000038589,38589,SIKATUNA BIRTHING CENTER,Health Facility,Birthing Home,Government,NA,REGION VII (CENTRAL VISAYAS),0700000000,BOHOL,0701200000,SIKATUNA,0701241000,POBLACION I,0701241009,6338,+63 0384180758,63,NA,rhusikatuna@gmail.com,NA,2,Licensing Status:With License,NA
DOH000000000032955,32955,SOUTH UPI RURAL HEALTH UNIT BIRTHING HOME,Health Facility,Birthing Home,Government,NA,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1900000000,MAGUINDANAO DEL SUR,1908800000,SOUTH UPI,1908822000,ROMANGAOB (POB.),1908822010,NA,NA,NA,NA,NA,NA,0,Licensing Status:With License,NA
DOH000000000033575,33575,GUINAYANGAN MUNICIPAL HEALTH OFFICE LYING IN CENTER,Health Facility,Birthing Home,Government,NA,REGION IV-A (CALABARZON),0400000000,QUEZON,0405600000,GUINAYANGAN,0405618000,CALIMPAK,0405618010,NA,+63 423034754,NA,NA,MHOGUINAYANGAN@YAHOO.COM,NA,0,Licensing Status:With License,NA
DOH000000000006686,6686,CANDELARIA DISTRICT HOSPITAL,Health Facility,Hospital,Government,PUROK 3,REGION III (CENTRAL LUZON),0300000000,ZAMBALES,0307100000,CANDELARIA,0307103000,YAMOT,0307103019,2212,NA,NA,NA,NA,Level 1,50,Licensing Status:With License,NA
DOH000000000039499,39499,TABOGON RHU AND BIRTHING CENTER,Health Facility,Birthing Home,Government,NA,REGION VII (CENTRAL VISAYAS),0700000000,CEBU,0702200000,TABOGON,0702248000,POBLACION,0702248018,6009,+63 324339096,NA,NA,tabogonrhu2018@gmail.com,NA,2,Licensing Status:With License,NA
DOH000000000038705,38705,NARVACAN RURAL HEALTH UNIT- BIRTHING FACILITY,Health Facility,Birthing Home,Government,NA,REGION I (ILOCOS REGION),010000000,ILOCOS SUR,010290000,NARVACAN,010291400,MARGAAY,0102914017,NA,NA,NA,NA,NA,NA,5,Licensing Status:With License,NA
DOH000000000003758,3758,BUGASONG MEDICARE COMMUNITY HOSPITAL,Health Facility,Infirmary,Government,NA,REGION VI (WESTERN VISAYAS),060000000,ANTIQUE,060060000,BUGASONG,060060400,ILAURES,0600604012,5704,NA,NA,NA,bugasongmch@yahoo.com,NA,15,Licensing Status:With License,12/31/2023
DOH000000000038581,38581,LOBOC RHU MATERNITY CLINIC,Health Facility,Birthing Home,Government,NA,REGION VII (CENTRAL VISAYAS),0700000000,BOHOL,0701200000,LOBOC,0701229000,POBLACION SAWANG,0701229021,6316,+63 0385379090,63,NA,rhuloboc@yahoo.com,NA,3,Licensing Status:With License,NA
DOH000000000032960,32960,TALITAY RURAL HEALTH UNIT BIRTHING HOME,Health Facility,Birthing Home,Government,NA,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1900000000,MAGUINDANAO DEL NORTE,1908700000,TALITAY,1908712000,TALITAY,1908712009,NA,NA,NA,NA,NA,NA,0,Licensing Status:With License,NA
DOH000000000044532,44532,LIDLIDDA FARMERS' BASIC EMERGENCY OBSTETRIC & NEWBORN CARE - BIRTHING FACILITY,Health Facility,Birthing Home,Government,NA,REGION I (ILOCOS REGION),010000000,ILOCOS SUR,010290000,LIDLIDDA,010291100,POBLACION NORTE,0102911007,2723,NA,NA,NA,NA,NA,3,Licensing Status:With License,NA
DOH000000000046048,46048,SAN RAFAEL RURAL HEALTH UNIT AND BIRTHING FACILITY,Health Facility,Birthing Home,Government,"CAUSING ST.,",REGION VI (WESTERN VISAYAS),0600000000,ILOILO,0603000000,SAN RAFAEL,0603042000,POBLACION,0603042010,5039,NA,NA,NA,rhusanrafael@gmail.com,NA,4,Licensing Status:With License,12/31/2022
DOH000000000002117,2117,OCCIDENTAL MINDORO PROVINCIAL HOSPITAL,Health Facility,Hospital,Government,PHO COMPOUND,MIMAROPA REGION,1700000000,OCCIDENTAL MINDORO,1705100000,MAMBURAO (CAPITAL),1705106000,TAYAMAAN,1705106007,5106,NA,NA,NA,omph_pho@yahoo.com,Level 1,100,Licensing Status:With License,NA
DOH000000000032363,32363,MINALIN RURAL HEALTH UNIT AND LYING IN CLINIC,Health Facility,Birthing Home,Government,LALOMA,REGION III (CENTRAL LUZON),0300000000,PAMPANGA,0305400000,MINALIN,0305414000,SAN NICOLAS (POB.),0305414009,NA,NA,NA,NA,NA,NA,0,Licensing Status:With License,NA
DOH000000000038673,38673,DASOL RHU AND BIRTHING HOME,Health Facility,Birthing Home,Government,NA,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,DASOL,010551900,POBLACION,0105519014,NA,63,63,NA,NA,NA,1,Licensing Status:With License,NA
DOH000000000004923,4923,CATUBIG DISTRICT HOSPITAL,Health Facility,Infirmary,Government,F. DE ASIS,REGION VIII (EASTERN VISAYAS),0800000000,NORTHERN SAMAR,0804800000,CATUBIG,0804806000,BARANGAY 1 (POB.),0804806045,6418,NA,NA,NA,NA,NA,10,Licensing Status:With License,NA
DOH000000000005667,5667,CONGRESSMAN NATALIO P. CASTILLO SENIOR MEMORIAL HOSPITAL,Health Facility,Infirmary,Government,NA,REGION VII (CENTRAL VISAYAS),0700000000,BOHOL,0701200000,LOON,0701230000,BASAC,0701230008,6327,+63 385059246,+63 385059170,+63 385059194,cmh_loon@yahoo.com.ph,NA,25,Licensing Status:With License,NA
DOH000000000035563,35563,OSPITAL NG MALABON,Health Facility,Hospital,Government,F. SEVILLA BOULEVARD,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, THIRD DISTRICT (NOT A PROVINCE)",137500000,CITY OF MALABON,138040000,TA?ONG (POB.),1380400018,1470,+63 025188602,NA,NA,ospitalngmalabon@yahoo.com,Level 1,34,Licensing Status:With License,12/31/2023
DOH000000000006028,6028,LUNG CENTER OF THE PHILIPPINES,Health Facility,Hospital,Government,QUEZON AVENUE EXTENSION,NATIONAL CAPITAL REGION (NCR),1300000000,"NCR, SECOND DISTRICT (NOT A PROVINCE)",1374000000,QUEZON CITY,1381300000,CENTRAL,1381300020,NA,+63 029246101,+63 029246111,+63 029246101,lcpdirector01@gmail.com,Level 3,210,Licensing Status:With License,NA
DOH000000000032550,32550,BACON DISTRICT CITY HEALTH OFFICE BIRTHING HOME,Health Facility,Birthing Home,Government,BACON DISTRICT,REGION V (BICOL REGION),0500000000,SORSOGON,0506200000,CITY OF SORSOGON (CAPITAL),0506216000,POBLACION,0506216051,NA,NA,NA,NA,NA,NA,6,Licensing Status:With License,NA
DOH000000000003983,3983,KALUMBOYAN COMMUNITY PRIMARY HOSPITAL,Health Facility,Infirmary,Government,NA,REGION VII (CENTRAL VISAYAS),0700000000,NEGROS ORIENTAL,0704600000,CITY OF BAYAWAN,0704606000,KALUMBOYAN,0704606010,6221,NA,NA,NA,kalumboyancph@yahoo.com,NA,10,Licensing Status:With License,NA
DOH000000000003452,3452,UNIVERSITY HEALTH SERVICE,Health Facility,Hospital,Government,"NARRA ROAD, FORESTRY CAMPUS, U.P.",REGION IV-A (CALABARZON),0400000000,LAGUNA,0403400000,LOS BA?OS,0403411000,BATONG MALAKE,0403411004,4030,+63 495362470,NA,NA,NA,Level 1,30,Licensing Status:With License,NA
DOH000000000003810,3810,BUKIDNON PROVINCIAL HOSPITAL - SAN FERNANDO,Health Facility,Infirmary,Government,PUROK 10,REGION X (NORTHERN MINDANAO),1000000000,BUKIDNON,1001300000,SAN FERNANDO,1001318000,HALAPITAN (POB.),1001318022,8711,NA,NA,NA,NA,NA,10,Licensing Status:With License,12/31/2023
DOH000000000032988,32988,SAGUIARAN RURAL HEALTH UNIT BIRTHING HOME,Health Facility,Birthing Home,Government,NA,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1900000000,LANAO DEL SUR,1903600000,SAGUIARAN,1903625000,POBLACION,1903625033,NA,NA,NA,NA,NA,NA,0,Licensing Status:With License,NA
DOH000000000032761,32761,CARMEN HEALTH CENTER AND LYING IN CLINIC,Health Facility,Birthing Home,Government,NA,REGION X (NORTHERN MINDANAO),1000000000,MISAMIS ORIENTAL,1030500000,CITY OF CAGAYAN DE ORO (CAPITAL),1030500000,CARMEN,1030500044,NA,+63 888573184,NA,NA,CDOCITYHEALTHOFFICE@GMAIL.COM,NA,0,Licensing Status:With License,NA
