KII ID,row,County/Akobo,Gender/Female,Intervention Type/Advocacy,Intervention Type/Peacebuilding,Perception of Stresses/Improved,Programming Gaps/Health,Resilience,Respondent Type/Government,Shocks/Drought,Shocks/Fincial,Shocks/Hunger,Stresses/Conflict,Gender/Male,Intervention Type/Livelihoods,Programming Gaps/Capacity Building,Programming Gaps/Violence Prevention,Respondent Type/CSO_NGO Worker,Intervention Type/Humanitarian,Perception of Stresses/Worsened,Programming Gaps/Agriculture,Programming Gaps/Infastructure,Intervention Type/Economic,Programming Gaps/Fincial,Shiocks/Food,Shocks/Flood,Respondent Type/Youth Leader,Stresses/Climate Change,County/Budi,Programming Gaps/Infrastructure,Programming Gaps/Protection,Programming Gaps/Life skills,Shocks/Pests,Intervention Type/Agriculture,Intervention Type/Protection,Programming Gaps/WASH,Shocks/Pest,Vulnerable Populations/Women,Programming Gaps/Education,Respondent Type/Private Sector,County/Jur River,Intervention Type/Education,Intervention Type/Nutrition,Intervention Type/Humanitarian Assistance,Intervention Type/Infrastructure,Perception of Stresses/Same,Intervention Type/Health services,Shocks/Medical Condition,County/Kapoeta North,"Programming Gaps/Violence Prevention
Programming Gaps/Peacebuilding?",Respondent Type/Community Leader,Intervention Type/WASH,Programming Gaps/Coordition,Respondent Type/Women Leader,Programming Gaps/ROL,County/Pibor,Stresses/Protection,Stresses/Unemployment,Respondent Type/IPs,County/Wau,Intervention Type/Peabuilding,Stresses/Corruption,Vulnerable Populations/Youth
Jur River_KII_14,12,,,,,"In the last 12 months, the county has witnessed relative peace, and there has been no incidences of conflict. The situation has improved after the Marial Bai Agreement and other peacebuilding efforts. The government is trying its best to encourage the community to co-exist in harmony.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jur River_KII_14,4,,,,,,"The main challenges or gaps include:
•	Health: Currently, only Johanniter Intertiol and Cordaid are the ones providing health care in Jur River, and only few health facilities are supported. There’s need for more partners to strengthen the health sector so that children and pregnt women can access health care services in Jur River County.
•	In addition, during rainy season, and when flooding happens, there is high incidence of malaria among children and old people because there are no mosquito nets.
•	Water: There are few functiol boreholes in Jur River county. 
•	Education: There are only few schools in Jur River with school structures. Majority of the schools are under trees and during rain season, learning is disrupted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jur River_KII_14,6,,,,,,,,"County RRC Coorditor, Relief and Rehabilitation Commission (RRC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jur River_KII_14,8,,,,,,,,,"Major shocks and stresses include: Floods that happens every year; prolonged dry spell which is always followed by floods between August and October each year, destroying crops, affects livestock and erodes existing livelihoods of the community, resulting in food insecurity and hunger. GBV, Health shocks as a result of floods increasing malaria incidence. Some of the stresses include: high commodity prices and poor essential service delivery.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jur River_KII_15,3,,,,,,,,,,,,,,,,,,,,,,,,,"Main shocks include; Floods happen every year and always destroy houses, crops, and livestock; prolonged dry spell, every year; high commodity prices (economic shock) affects people on daily basis; GBV, mainly forced marriages as a result of the impact of other primary shocks.",,,,,,,,,,,,,"1.	Education – not many women and girls have attended school for many reasons including poverty, negative cultural beliefs.
2.	NFIs for floods affected population.
3.	Poor health services 
4.	GBV prevention services",,Jur River,,,,,,,,,,,,,,,,,,,,,,
Jur River_KII_15,4,,Female,,,,,,,,,,,,,,,"Chairperson, County Women Association",,,,,,,,,,,,,,,,"1.	Floods: Digging of water passage channels around homes; relocating to higher grounds; relief aid.
2.	Prolonged dry spell: Provision of vegetable seeds, tools and training; small scale businesses e.g., bread baking, tailoring. 
3.	High commodity prices (economic shock): Economic empowerment of women and youths through training and provision of start-up kits; VSLA Training/kits; reducing expenditures in order to buy food; reducing the number of meals per day from 2 to 1.
4.	GBV (including forced marriages): Raising awareness among women and girls.",,,,,There is need to support more girls and women to enrol to school.,,,,,,,,,,,,,,,,,,,,,,,,
Jur River_KII_15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.	Economic empowerment of women and youths through training and provision of start-up kits and VSLA Training/kits support have been helpful in helping women become self-reliant.
2.	Vocatiol skills training in bread baking, tailoring – women are now able to earn from these businesses. 
3.	Provision of vegetable seeds, tools, and training – has provided altertive sources of food and income especially during prolonged dry spell.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jur River_KII_15,6,,,,,,,,,,,,,,"Working with partners to train women and girls in tailoring, bread/cake making, entrepreneurship skills, vegetable production and awareness on risks of alcoholism and drug abuse. Some of the partners include: RASS, NRC, IOM, Care Intertiol.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jur River_KII_15,7,,,,,,,,,,,,,,"Currently, supporting women on vegetable production as rains have delayed. Some women have now been engaged in petty trade or businesses as they wait for the farming season.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jur River_KII_16,4,,,,,,,,,,,,"1.	Major shocks include: conflict between farmers and cattle keepers in 2019 to 2020 – crops destroyed and displaced farmers.
2.	Floods – August to October every year.
3.	Economic shock – due to limited economic opportunities for youths and high level of unemployment among the youths.",,,,,,,,,,,,,,Youth Representative,,,,,,,,,,,,,,Jur River,,,,,,,,,,,,,,,,,,,,,,
Jur River_KII_16,11,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jur River_KII_16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.	Working with the youths to be self-reliant by engaging in farming. 
2.	Encouraging the youths in all Payams to organize themselves into groups and engage in agriculture.
3.	Encourage youth to engage in commul farming in the absence of support from NGOs and government.
4.	Youth leaders are present in all Payams and engage with their respective youth on issues that affect the youths.
5.	Work with community leaders and local authorities to address issues that affect youths.
6.	Volunteer to support community activities such as working on community access roads and security.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jur River_KII_16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.	Few youths targeted with vocatiol training opportunities.
2.	Few cattle and ox ploughs
3.	Limited economic empowerment opportunities for youths",,,,,,,,,,,"1.	Cash/Food for asset – encouraged youths to work and ebled youths to have access to income that reduced vulnerability.
2.	Engaging youths in agriculture, especially training youths on the use of ox ploughs",,,,,,,,,,,,,,,,,,,,
Jur River_KII_16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Youth should be empowered in order to become self-reliant.,,,,,,,,,,,"1.	Cash/Food for asset – encouraged youths to work and ebled youths to have access to income that reduced vulnerability.
2.	Engaging youths in agriculture, especially training youths on the use of ox ploughs",,,,,,,,,,,,,,,,,,,,
Jur River_KII_16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Youth remain vulnerable to a number of issues. Currently, youth are not engaged in agriculture due to the prolonged dry season, that this makes youth vulnerable. There are no much support to the youth in terms of entrepreneurship and business support. Some youth have been supported by partners on vocatiol skills, however, majority of the youth in each boma are faced with unemployment and limited economic opportunities.",,,,,,,,,,,,,,,,,
Jur River_KII_17,5,,,,,,,,,,,,,,,,,,,,,,,,,"During lean seasons, majority of the community depends on wild roots and vegetables. Those days they used to depend on world food program which has stopped already. With the two common tural disaster in Jur River, there is little realization of development however, the community are not giving up on trying to adapt to the circumstances.",,,,,,,,,,,,,,,Jur River,,,,,,,,,,,,,,,,,,,,,,
Jur River_KII_17,12,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jur River_KII_17,7,,,,,,,,County Agriculture Director,,,,,,,,,,,,,,,,,,,,,,,,,"The county agriculture development work closely with community to provide them with skills on best agriculture practices, and how to control pest and diseases. They liase with IPs like FAO, to support farmers with trainings and agricultural inputs. Hope agent for relief and development (HARD), Agency for Technical Cooperation and Development (ACTED) and JOHANNITER support the community of Jur River in various ways including food security and livilihood. Training  of small scale business and Village saving loan association.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jur River_KII_17,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"With agriculture, community mostly resolve on planting short term crops (okra, maize, groundnuts, short term sorghum, beans anf others. Crops that can only survive between these seasons of flood and dry spell.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jur River_KII_17,13,,,,,"The county agriculture development has been doing a lot of awareness to the community to be resilience interms of producing their own seeds and not relying on exterl help and majority of people are already doing so. Communities are slowly moving out from waiting for assisstance to being independent. If not because of the freequent  flood,  Jur River used not to depend on humanitarian aids.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jur River_KII_17,2,,,,,,,,,,,,,,,,,,,,"The community need improved mechanism of cultivation like ox-plough,  this will allow them cultivate large piece of land and to produce enough crops.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jur River_KII_17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"There are no major gaps in service delivery, however, irrigation facilities are lacking especially during dry seasons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jur River_KII_17,4,,,,,,,,,,,,,,,,,,,,,,,,,"Climent change and disease. ( long dry spell and flood) affect agriculture seasons so much. Some adaptive seeds that are being brought from outside the country sometimes get affected by the climent.  The rain normally delays like now it is  the month of May and there is no rain yet, and shortly between September there will be too mcuh rain that may lead to floodings. These changes destroys most long term  crops like type two maize and  sorghum                                                                                                                                                              The high risk flood affected areas in Jur River are Marial Bai, Udici, some parts of Kangi and some bomas like Mbili in Kuajieno. These areas get affected yearly and causes migrations in the county. tural disaster affects both men and women but obviously it has much effect on children and elderly people",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jur River_KII_18,6,,,,,,Health facilities which are cut off by HPF have experience a lot of health casualties like suddan death (pregnt mothers and children),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jur River,,,,,,,,,,,,,,,,,,,,,,
Jur River_KII_18,13,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jur River_KII_18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"At the moment CHP  has  no plans put in place order to respond to this crisis of shortages of drugs in the country,  CHD is looking forward to the donors to revisit their plans and continue to the support south Sudan.","The major shocks interms of Health is the HPF funding shortage, which  has affected many facilities , In 2021 HPF was supporting 31 health facilities  and  the other 20 facilities were being supported by county health department through the same little support that was coming from HPF. In  2022 HPF dropped many other health facilities and currently supporting only twelve (12) health facilities. This has many implecations in the life of the community because amny of them can not access private clinics due to money. Men and women face the same health conditions but children and mothers suffered the most.",,,,,,,,,,,,,,,
Jur River_KII_18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The situation remains the same because the government has no capacity to support health facilities with drugs and this calls for donors intervention.,,,,,,,,,,,,,,,,,
Jur River_KII_18,5,,,,,,Unhealthy communinty means unhealthy development. Majority of the communnity may not be able to cattered for themselves hence remain dependant to the exterl assisstance.  There is no much resilience realised in terms of health in the county.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jur River_KII_18,7,,,,,,There is an urgent need to put more fundings in health department in order to prevent unsual death and also motivate the workers to work effectively.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jur River_KII_18,8,,,,,,,,County Health Director (CHD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jur River_KII_18,9,,,,,,,,"County health department is the wing of the government , who sees and respond to health servieces within the county and respond to headquator. They work with partners like health pooled fund (HPF) and Cordaid intertiol. These IPs provide drugs, cars and fuel, office space with internet. They also provide incentives for the CHD at monthly basis. They provide traing to midwives and clinical offices and other departments. Unicef and WHO privide vaccines and help in times disease surveillance. MIHR support in FP activities , JOHANNITER implementting nutrition to under 5 and PLWs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoeta North_KII_19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kapoeta North,"Yes, the continue monitoring of peace dialogue is something missing most in the peace dialogue where the communities agreed but later they break the agreement due to lack of follow up by partners or government involved in the dialogue.",,,,,,,,,,,,,
Kapoeta North_KII_19,14,,,,"The peace dialogue, because with peace the community can have barter trade with other communities for example taking goats to Buya land in exchange of sorghums . With peace the business men can expand their business, with peace also most communities members have access to schools, health services, market and cultivate peacefully.","There is a change in the County because in the past, people were not practicing kitchen gardens but now most of the households have the kitchen garden in their compounds. The community has open school farm fields in 4 out of 7 primary schools such as Choroi, Karukomunge, Riwoto, and ST Mary primary schools. The community members have taken their children to school both boys and girls yet in the past year's girls were not considered due to sensitization from education partners, now the community has known the importance of girl child education. The youths are now engaged in doing small business in the county not like before hencefored, there is much improvement in Kapoeta North in last 12 months compared to last years back.",,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoeta North_KII_19,13,,,,Approaches used were peace dialogue among the communities involved in the raiding and early preparation of farm land while waiting for rainy season.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoeta North_KII_19,15,,,,"There is need to have laws and regulation to be abide by all communities involve in agreement and if any community break the laws will punish. the solution, resolution and follow up of dialogue is something important in peace dialogue.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoeta North_KII_19,5,,,,,,,,,,,,,,,,,,,,,,,,,,Chair-person (youth-center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoeta North_KII_19,6,,,,,,,,,,,,,,,,,,,,,,,,,,"I am Elia Iko, the chairperson of the youth in Kapoeta North. The youth in the County plays a big role in supporting the community to have food by doing a small business by bringing food items in the nearby communities, the youths assist their parents and their wives in farming, including the creation of awareness in the community on the importance of nutrition to community members so that they can practice balance diet always. The youths rear animals in the community and assist members during shocks like flooding or outbreak of fire by carrying people's properties to a safe place, the youth body has a plan in place to address disaster magement that organize to mitigate the flooding by digging the dykes in affected Payams such as Paringa, Chumakori and Lomeyen respectively.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoeta North_KII_19,9,,,,,,,,,"The main shocks and stressors are Cattle raiding amongest the neighbours communities of Murle, Buya Tenent and Drought ( Long dryspell) which are not frequently practice. The county was affected during cattle raiding where members lost lives and resources (Cattles) which is main source of income in the county, while  youths, men and women became traumatized after losing their loved ones and cattles. The incident increased the number of widows in the county.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoeta North_KII_20,2,,,,,,,,,,"The economy in terms of dollar rates frequently raises up and down hence affecting business people when they need to restock their shops and later they sell at losses.  when the dollar rate raises up, reduces the supply of goods in the County.                                                                                                                                                                                                  Insecurity is stressful to businessmen who purchase their goods from Juba and end up being attacked along the way by robbers leading to loss of lives and properties. henceforth slows business in the County.                                                                                                                                                                                       Impassable roads during the rainy season delay business people's goods from reaching on time due to muddy and flowing rivers along the road keeping them overstaying in the bush. cattle raiding and drought which made most of the members migrate from the County in search of a peaceful place and green pasture for their animals.                                                 Increment of taxes by the county government leads to a rise in prices which affects the community.",,,,,,"Yes, most businesses were closed due to the inter-commul conflict.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kapoeta North,,,,,,,,,,,,,,
Kapoeta North_KII_20,15,,,,,"yes, there is a lot of improvement because the County has improved in terms of service delivery in the business sector. Many people have known the importance of business, education, and agriculture in the entire County and most households have sent their children to school both girls and boys than before where the boys were accepted only to be taken to school.",,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoeta North_KII_20,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I am by me called JOHN LOTEDE and the chairperson chamber of commerce. Our institution is committed to buying goods and services from neighboring Countries in case of food shortage in the County. They buy local sorghums from the locals and sell to them during the dry season when they have in their households. They sell farm tools and equipment such as watering cans, slashes, spades, pangs, rakes, hoes, and the tools help the community members in disaster risk reduction in case there is flooding as well as use the tools for their cultivation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoeta North_KII_20,10,,,,,,,,Chair-person (Chamber of Commerce),,,,,,,,,,,,,,,,,,,,,,,,,The reduction of taxes made the businessmen and the community transact business peacefully and grow in terms of business where people exchange goods and services smoothly.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoeta North_KII_20,3,,,,,,,,,,Taxes were reduced                                                                                                                                                                                         Being friendly to people in the trading center                                                                                                                                                     Wait until the rivers and the roads dry up                                                                                                                                           Purchase enough goods and services during the dry season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoeta North_KII_21,3,,,,,,,,,,,,,,,,Peace dialogue follow-up from both communities hindering the implementation of peace to last,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kapoeta North,,,,,,,,,,,,,,
Kapoeta North_KII_21,16,,,,Peace dialogue amongst the communities involved in the cattle raiding                                                                                                                                                               Patiently waits for rain and practice small-scale irrigation at the household level.,"There is a lot of improvement in the County as per my observation in terms of business activities in the County which had increased than before and most of the local youth have their own shops in the County. many households have taken their children to school in good numbers both girls and boys which was not there before meaning there is improvement in education. the locals have access to health services, markets, and GFD.",,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoeta North_KII_21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I am Joseph Losike, the paramount chief of Kapoeta North County. our institution coordites with the County government and local people in creating awareness of agriculture to reach every village through bomas chiefs where people are sensitized with the message of clearing their farm fields as early as March when the rain is about to start for enough food harvesting in the County. through IP intervention in collaboration with the local leaders, people have learned how to cook, clean and eat nutritious food after sensitization by their leaders.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoeta North_KII_21,17,,,,Peace dialogue is helpful in terms of development whereby the community can do their own business and farming activities without any problem.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoeta North_KII_21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paramount Chief (Local Authority),,,,,,,,,,,,
Kapoeta North_KII_21,6,,,,,,,,,,,,,,,,,,,,,,,,,"There is a need for the partners to be quick in response to shocks like flooding, wildfire, and heavy winds. When information is passed to the partners, they tend to delay during intervention  and most of the Payams were affected by flooding too but there was no help at all.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoeta North_KII_21,5,,,,,,,,,,,,"Cattle Raiding and Drought                                                                                                                                                                                                                                              During cattle raiding, many people lost their lives and properties causing trauma to youths who lost their colleagues during raiding and women lost their husbands and their relatives as well.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoeta North_KII_22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kapoeta North,,,,,,,,,,,,,,
Kapoeta North_KII_22,17,,,,,"Yes, the situation in this County has improved and most of the household members have access to the market through the opening of feeders roads that connect bomas to the main center.",,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoeta North_KII_22,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Edward Lopoche is my me, am the County RRC Coorditor. Through RRC, the community gets sensitization to crop farming and other local production with the help of partners who support agriculture activities in the County and people get to learn the skills for farming. A good number of members in the community defend on cattle keeping and therefore his institution keeps encouraging the community to rare their animals as well as take nutritious food always by balancing the diets, as their institution monitors the improvement of the situation among the members.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoeta North_KII_22,18,,,,"Peace dialogue among Toposa, Murle, Buya, and Tenent communities                                                                                                                                                            Preparing field farms and wait for rain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoeta North_KII_22,19,,,,"The peace dialogue because with peace the community can have barter trade with other communities that are involved in cattle raiding and also the community can produce enough food when the community members are living in harmony with other neighboring communities and these will improve the development of schools, health and big centers for selling and buying of local products that being produce by locals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoeta North_KII_22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The health facilities can be accessed by most of the members which was hard some years back to access. the community has brought their children to school willingly both boys and girls yet in the past boys were only allowed to go to school. the community members have practice hygiene and as you can see the center is clean. The County has improved in terms of business where most of the youth engaged themselves in business activities as well as women.,"Follow-up of resolution is lacking in peace dialogue making the communities to raid others after some time.                                                                                                                During fire outbreak in far Payam of Kapoeta North, there is no quick response from the partners and the county government.",,,,,,,,,,
Kapoeta North_KII_22,11,,,,,,,,RRC Coorditor (County Government),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoeta North_KII_22,6,,,,,,,,,,,,"cattle raiding 
drought (dryspell)                                                                                                                                      
The shocks are not frequent but occurs occasiolly                                                                     
 The County was affected most recently, Members lost lives, colleagues, and cattle to the raiders. Many young productive youths become traumatized after the incident.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoeta North_KII_23,5,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kapoeta North,,,,,,,,,,,,,,
Kapoeta North_KII_23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"My me is Rose Lomare and I am the chair lady for the women group in Kapoeta North. Through my office, women have access to improve health services, hygiene awareness, and promotion, the creation of VSLA/SILC groups, CWMC, distribution of Dignity kits, and awareness on the importance of CLTS with the help of partners. Women are sensitized on the importance of crop farming and rearing animals and most of the members are practicing with the knowledge of having a food diet always than eating the same meal. Women are running most of the business in the center through knowledge and skills acquired from partners' pieces of training.",,,,,,lack of continuous monitoring of peace from other communities who normally start raids and lack of follow-up from partners concerned or the government.,,,,,,,,,,
Kapoeta North_KII_23,20,,,,The approach used to address cattle raiding is peace dialogue among the communities involved in raiding and the approach used to address the drought (dry spell) is by preparing the farming land early and wait for the rainy season.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoeta North_KII_23,21,,,,the peace dialogue because when the community live in peace and harmony the business will boom up and there will be promotion of selling the local products to the market where women take charcoal to the center and sell.the women will able to have grass cutting in far places for their houses when the peace is there and also the community will harvest a lot of food from their peaceful cultivation in the community leading them to be independed people.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoeta North_KII_23,18,,,,,There is a change in the County because in the past people were not practicing kitchen gardens but now most of the households have the kitchen garden in their compounds. the community through education awareness has taken their children to school willingly both boys and girls than before when boys were the only ones that can be allowed to join the school. IPs' training on entrepreneurial skills led the community members aware of the importance of business and therefore many shops have been added in the past 12 months.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoeta North_KII_23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, if there is a way for the peace partners or the government to select a committee that can oversee the peace process will be among the cattle keepers who are warriors to be leading in promoting peace in the community.",,,,,,,,,,
Kapoeta North_KII_23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chair-lady (Women's Association),,,,,,,,,
Kapoeta North_KII_23,7,,,,,,,,,,,,The main shocks and stressors are the cattle raiding between neighboring communities and drought( Long dry spell) and they are not frequent. The county was affected when many people lost lives and cattle during raiding causing most of the youth to be traumatized. Many men and women lost their young ones during the cattle raid and some of the women lose their husbands which lead to the increased number of orphans and widows in the county.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoeta North_KII_24,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kapoeta North,,,,,,,,,,,,,,
Kapoeta North_KII_24,18,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoeta North_KII_24,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Saverio Pasquale and I am the County Executive Director. The County government coordites with the implementing partners to address the community on the importance of agricultural activities, the opening of feeder roads, Hygiene promotion & awareness about the improvement of the livelihood. The partners also support the government in every activity to benefit the entire population. The County provides health education sessions to all the people and the County authority has joined the plan always with partners in doing an assessment first in any affected villages to acquire more information for decision making which will help in mitigating the risks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoeta North_KII_24,22,,,,The approach used to address cattle raiding is peace dialogue among the communities involved. The approach used to address the drought (dry spell) is by preparing the farmland early and waiting for the rain while the community also defends on the GFD ratio.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoeta North_KII_24,23,,,,A peace mediation process among the worried communities to bring them together is the best approach to apply during cattle raiding since peace is always a solution to most conflicts either within or inter-commully.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoeta North_KII_24,24,,,,The County government is planning to open a road from Kapoeta North to Buya land for business interaction.                                                                                                                                            The County government argues the peace initiators (Nyakiriket consortium) supported by Shejeh Salam to have regular follow-up and inter-change visits to different Counties that were involved in cattle raiding for sensitization messages for peace.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoeta North_KII_24,19,,,,,"The situation has improved highly for example, the opening of feeders roads has connected the bomas to the main center of the County which was not there before and the sick person can be able to be rushed quickly to the main health facilities due to the accessibility of road and hospital. there is an increase in means of transportation in the past 12 months in the County and people travel daily from Kapoeta North to the south and back.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoeta North_KII_24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resolutions for peace dialogue are not being implemented after peace talks leading to the break up of peace aggreement.,,,,,,,,,,
Kapoeta North_KII_24,12,,,,,,,,Executive Director (County Government),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoeta North_KII_24,8,,,,,,,,,,,,"The main shocks and stressors are the cattle raiding between neighboring communities and drought(dry spell) which are not frequently experienced. The county was affected due to the loss of lives and resources, where resources such as cattle were the main livelihood activity in the county. Kapoeta North in general experience a long dry spell due to the delay of rain this year, they majorly focus on General Food Distribution provided by ADRA and cash for assets provided by CRS to mitigate the long dry spell.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
